rrad,meanrflux,stdrflux,meantotf
0.5,3.3409331118725854e+38,1.9608061860949596e+38,3.3409331118725854e+38
2.0,2.6860563932779674e+38,1.50039676872067e+38,6.640939489514717e+38
3.0,2.3610877740297393e+37,2.9289764566117727e+37,6.988846959106516e+38
4.0,1.0819921930695929e+37,1.536192255392744e+37,7.179692061784022e+38
5.0,9.591788958057461e+36,7.364995513447613e+36,7.263031321288734e+38
6.0,1.0459560674576157e+37,9.461914656563724e+36,7.342637084114217e+38
7.0,1.2909592826355138e+37,2.3105429094477315e+37,7.44249364841574e+38
8.0,1.530197230875471e+37,2.401617040956277e+37,7.697476001739004e+38
9.0,1.7759982917491726e+37,4.0866646111236207e+37,7.936747506509741e+38
10.0,2.0184761539465038e+37,5.397155956929118e+37,8.380082813390919e+38
11.0,2.185353430272919e+37,6.788455340396327e+37,8.789453891147838e+38
12.0,2.5373251712166017e+37,9.958844498660447e+37,9.342653836017839e+38
13.0,2.5107291459086244e+37,1.3877359605123548e+38,1.0216895911512402e+39
14.0,2.2951292740268544e+37,7.222555358155527e+37,1.0555525630463057e+39
15.0,2.1170976878742431e+37,1.5615046410475606e+37,1.0784609344119474e+39
16.0,1.8977250194687724e+37,1.188025789674107e+37,1.1068094601804766e+39
17.0,1.8558767198571216e+37,7.64681631754191e+36,1.1272228172767154e+39
18.0,1.813956184129747e+37,6.875165967049329e+36,1.1455941278469759e+39
19.0,1.686287771135558e+37,6.003754295157041e+36,1.1703706786075408e+39
20.0,1.619969039222944e+37,5.7391360839393e+36,1.1930162958389246e+39
21.0,1.5707457452624671e+37,6.195903630205606e+36,1.2129273353684592e+39
22.0,1.5606010233166942e+37,6.13257748098622e+36,1.228952842801023e+39
23.0,1.5528416222168055e+37,4.8648080833830353e+36,1.2456583564006404e+39
24.0,1.5132632020730535e+37,4.684498857782907e+36,1.2599594255380274e+39
25.0,1.4918306815550373e+37,4.2871403607672946e+36,1.2744640366654379e+39
26.0,1.4684187840831613e+37,4.430589462912501e+36,1.2891032756441423e+39
