Galaxy,OutputAll,DirAll,x2All,OutputAbs,DirAbs,x2Abs,OutputEmi,DirEmi,x2Emi
J0021_0052,148,285,0.4961404216006671,148,285,1.046941239517725,148,249,0.5013868775834087
J0036_3333,148,139,6.132697751283961,148,272,17.210277314907884,148,222,2.8984065485299633
J0127_0619,148,227,0.8571261934521536,148,227,0.9917832671533291,148,155,2.6341706127369187
J0144_0453,148,210,0.7095673404484102,148,147,1.5250495904508885,148,122,0.9371765541497501
J0337_0502,148,261,2.6740496617050593,148,171,6.747514061720006,148,261,2.553835651665938
J0405_3648,148,122,0.823702327545469,148,151,1.3236546641674032,148,221,1.6878468827240198
J0808_3948,148,142,6.652863855237636,148,53,10.518837014482902,148,222,4.974204756719034
J0823_2806,148,154,2.479782508902705,148,154,8.858352775801787,148,177,1.3842442084037159
J0926_4427,148,275,0.6961965695779875,148,275,1.9605350165977236,148,299,0.862153249305737
J0934_5514,148,210,6.256328345061646,148,127,8.528892083648385,148,221,4.503593864115069
J0938_5428,148,40,1.9099530287457802,148,154,1.9702921719735804,148,138,1.5877803008739366
J0940_2935,148,222,0.8071638633879209,148,209,1.4463431555990176,148,221,1.2555842875750183
J0942_3547,148,122,0.35979985036528456,148,122,0.9412581152807614,148,122,0.9846649005805815
J0944_0038,148,227,0.30823069675004283,148,227,0.5658729792933377,148,261,0.6148463511792455
J0944_3442,148,69,0.12243422985385677,148,168,0.09207246750200387,148,196,0.08057861159836474
J1016_3754,148,240,0.619769347146809,148,240,0.8774384792157182,148,221,1.2549515083922578
J1024_0524,148,181,0.4063051989788337,148,153,0.8350218136672184,148,222,0.39126999185309064
J1025_3622,148,138,0.9020770929226571,148,138,2.367872133568705,148,58,0.6301870513868882
J1044_0353,148,82,3.187824861070446,148,213,2.5716489858953553,148,261,0.5724920673246464
J1105_4444,148,177,2.0553072580526695,148,177,4.006215834608635,148,261,0.41508025348815325
J1112_5503,148,157,6.506891469507027,148,157,21.3534408606967,148,110,1.0701053407289172
J1119_5130,148,210,0.6816295426649148,148,210,1.669350433760812,148,261,0.9990572873153425
J1129_2034,148,245,1.0856187942272273,148,245,1.8673670356970593,148,153,1.9670529564508468
J1132_1411,148,155,0.4387336113227633,148,155,1.247579824866564,148,181,0.35773174996005025
J1132_5722,148,210,0.22651698807697482,148,86,0.3769973355437234,148,261,0.277523712730487
J1144_4012,148,177,2.9593322513507165,148,177,10.691605947697683,148,102,0.7118899004172536
J1148_2546,148,101,0.9559285140962515,148,101,1.829125650767455,148,263,0.4334324295331114
J1150_1501,148,241,1.7628649532423477,148,227,2.7896761600510036,148,241,2.6686640829792916
J1157_3220,148,137,1.8158507308738994,148,220,1.564837137442689,148,59,0.345081157877905
J1200_1343,148,101,0.5306865571411873,148,158,1.3456242923879291,148,15,0.4929153396517987
J1225_6109,148,241,1.1883371263109535,148,245,1.0407826777810187,148,241,2.9253984706128575
J1253_0312,148,101,1.6751272520551257,148,101,2.64411179944629,148,181,2.8912780736002865
J1314_3452,148,153,7.36532471154857,148,153,18.685523550144445,148,261,8.826281417434181
J1323_0132,148,182,1.0302082144845173,148,54,0.9715011967485303,148,161,3.0544381585386966
J1359_5726,148,40,8.61771569947792,148,177,11.785451250913262,148,81,0.7077307389432327
J1416_1223,148,177,4.192281372299317,148,177,16.892181205480117,148,177,1.4419574790874832
J1418_2102,148,210,0.34499777334153575,148,210,0.8321594515210495,148,221,0.4436228366814352
J1428_1653,148,272,0.42713224872215483,148,272,1.107077518762383,148,283,0.32135398956709366
J1429_0643,148,138,0.8501514811662858,148,157,1.9345916605954225,148,290,0.576640246585197
J1444_4237,148,222,0.7811181485291377,148,43,2.5590625494502133,148,122,0.9911522859250765
J1448_0110,148,177,0.7929142974048382,148,177,1.617964081513802,148,181,0.39933956112211816
J1521_0759,148,133,1.432814237475055,148,173,3.443309241375828,148,42,0.3753079769267992
J1525_0757,148,157,7.462040494716073,148,157,31.50221095471526,148,205,0.6265437251755624
J1545_0858,148,222,0.2348718619722893,148,213,0.46391951247559127,148,261,0.28919108873339394
J1612_0817,148,157,15.456456151638738,148,157,55.90338794943223,148,202,1.778017331644958
