rrad,meanrcontcII,stdrcontcII,meanrfluocII,stdrfluocII,meanrcontsiII,stdrcontsiII,meanrfluosiII,stdrfluosiII
19.0,1.7402506998103338e+39,1.1002805823864613e+39,2.2490070452232053e+39,9.36135750371199e+38,1.7467357632404243e+39,1.1218107421588934e+39,2.2074877346009745e+39,1.0441824025900398e+39
20.0,1.586320209463927e+39,1.0964915262488975e+39,2.0639561164477694e+39,8.380562402287639e+38,1.5952058348486404e+39,1.1333447765143778e+39,1.9068389366532463e+39,9.398073538284552e+38
21.0,1.4194494088569196e+39,1.1614234646583504e+39,1.9156370871937777e+39,7.520324539818107e+38,1.4395070252618648e+39,1.1999761006347404e+39,1.635808788962237e+39,7.841495788586149e+38
22.0,1.1435562831057768e+39,9.612940205483028e+38,1.792459510199483e+39,6.971402268228183e+38,1.1619037437216799e+39,9.954525372029356e+38,1.4062433442481465e+39,5.840303006073859e+38
23.0,7.909645895409887e+38,4.362396749582913e+38,1.684890723933847e+39,6.292057403300271e+38,7.917660169471981e+38,4.408921630997275e+38,1.2844193498308274e+39,5.009687770100941e+38
24.0,6.459259569731027e+38,3.3723060839145458e+38,1.5472520302976384e+39,5.292345651433084e+38,6.6120244327571595e+38,3.4684101959881375e+38,1.1444795487043099e+39,4.244432808823436e+38
25.0,5.8175548548802414e+38,3.2440225825263043e+38,1.4324338833429656e+39,4.775077504868569e+38,5.98525595529807e+38,3.342748427048412e+38,1.037624122789377e+39,3.93727355781553e+38
26.0,4.389929563278008e+38,2.378302438890148e+38,1.3321320849411233e+39,4.533210635047847e+38,4.5342033408465424e+38,2.4326779051562803e+38,9.336112793452443e+38,3.54442735965523e+38
27.0,3.0035695473628264e+38,1.4031163487232958e+38,1.2365256670067972e+39,4.459443147209926e+38,3.0777522365335844e+38,1.4264064506969184e+38,8.229647435867966e+38,3.029749286400669e+38
28.0,2.3083748709267406e+38,1.0039482214080549e+38,1.1279094553970979e+39,4.299428463094573e+38,2.347772547932769e+38,1.0156907809989917e+38,7.305997140612776e+38,2.758686567029317e+38
29.0,1.8580694641201137e+38,8.115874936014417e+37,1.0083716152180577e+39,4.004667528696639e+38,1.8663933663617133e+38,7.807762058541961e+37,6.314032999303068e+38,2.4845885562284107e+38
30.0,1.4385350379454865e+38,5.602189930112096e+37,8.848014260709697e+38,3.663971424562006e+38,1.4690194467386934e+38,5.483835968894934e+37,5.239712625300295e+38,2.0289048131251845e+38
31.0,1.1873927832196769e+38,4.678528726848566e+37,7.921429343755394e+38,3.304829825911242e+38,1.2441853569993084e+38,4.85917832646955e+37,4.5913000939519235e+38,1.764364282303926e+38
32.0,1.0231114932030766e+38,4.53996168203405e+37,7.267498476989735e+38,3.1987134247169666e+38,1.0902717953647303e+38,4.699268073478063e+37,4.141529576150467e+38,1.808337053870388e+38
33.0,9.31506805006588e+37,8.088997030070105e+37,6.65082282668181e+38,3.1553430717730383e+38,9.980457422592967e+37,8.708873281145907e+37,3.744646244705279e+38,1.7734460945606965e+38
34.0,8.274090251198696e+37,1.2757484184657675e+38,5.984291809683509e+38,3.035719638715075e+38,9.264903455140982e+37,1.4161297194647945e+38,3.267895766239734e+38,1.646876268734915e+38
35.0,6.350697591105072e+37,4.1956573824257225e+37,5.404749726214639e+38,2.9765559387834633e+38,6.861163194085148e+37,4.8497038670762745e+37,2.8590631788211915e+38,1.606590039830032e+38
36.0,4.907640862404785e+37,1.9261712280243276e+37,4.695042919436747e+38,2.7844123773936943e+38,5.145885888431033e+37,2.159474807549495e+37,2.464885711921506e+38,1.5591148063023094e+38
37.0,4.2587871880857935e+37,2.1159159412691181e+37,3.980259333542455e+38,2.4754032232905163e+38,4.372047858268838e+37,2.18528200823698e+37,2.1137653059963764e+38,1.4561296481168823e+38
38.0,3.9199057247673827e+37,2.3523044404312927e+37,3.3033664964921206e+38,2.240990267893814e+38,3.9512249389536345e+37,2.5240449048743826e+37,1.7928361348060655e+38,1.3870041232756595e+38
39.0,3.3035407700197537e+37,2.0994162355612643e+37,2.6521391839380715e+38,1.90452217771373e+38,3.3870223623628646e+37,2.3462315586881393e+37,1.413545017541307e+38,1.2200383128443872e+38
40.0,2.743512795032284e+37,1.6029725328678521e+37,2.0204993960333075e+38,1.5148046578623938e+38,2.7656298290606944e+37,1.9003243548454991e+37,1.0495915826651223e+38,8.827066122490162e+37
41.0,2.5369046946694727e+37,2.170775462690839e+37,1.4663532045931501e+38,1.2196902849416976e+38,2.513099158063976e+37,2.452188241614677e+37,7.601857818244374e+37,6.228085782808634e+37
42.0,1.8746479024195546e+37,1.408150895453211e+37,1.049440043301992e+38,8.9571041843888e+37,1.7974412578550179e+37,1.6979380279060333e+37,5.520105383834485e+37,4.1191174083095394e+37
43.0,1.3477682476681556e+37,9.755721872956222e+36,7.257641350736496e+37,5.990434113522877e+37,1.3122435272059584e+37,9.963364848410273e+36,3.9364008084482475e+37,3.1307216807509435e+37
44.0,1.1031126822919259e+37,9.519676887617726e+36,5.372832657212545e+37,4.754610913754769e+37,1.2040301405904129e+37,1.0426071607048253e+37,2.9685375862419985e+37,2.468479961801453e+37
45.0,8.270111780222004e+36,8.300600187535128e+36,4.066208393924521e+37,3.8098811510959527e+37,9.77841703371024e+36,9.371225451460482e+36,2.330362623649021e+37,2.0515368283114219e+37
46.0,6.272649348604578e+36,6.613594907774828e+36,2.9399109482549382e+37,3.0385978330864435e+37,5.902715291646624e+36,6.369639338043287e+36,1.62661697939818e+37,1.6208954661630201e+37
47.0,5.229357162503408e+36,6.976349866867686e+36,2.1171364162240748e+37,2.3828600791629276e+37,4.874558869961585e+36,7.079469380379622e+36,1.1843141735278936e+37,1.180525567509047e+37
48.0,3.1867739705282654e+36,4.841339938459961e+36,1.4611512131349436e+37,1.7641062771650196e+37,3.342782718853254e+36,5.163539436993756e+36,8.407662840378603e+36,8.946676307783706e+36
49.0,2.2971398470690947e+36,3.8735340434664326e+36,9.695403562016335e+36,1.3315840861558507e+37,2.3169858680819734e+36,4.4712497228179203e+36,5.862420210589473e+36,7.376273957841072e+36
50.0,1.6213106996854157e+36,3.2392003922266996e+36,5.627565155206059e+36,8.356827708976091e+36,1.5275092120803376e+36,3.2678996739922113e+36,3.6665629924524557e+36,5.056002669350882e+36
