rrad,meanrflux,stdrflux,meantotf
57.0,0.0,1.860170201557058e+32,5.388972359315935e+37
58.0,0.0,8.866942872718927e+31,5.388972359315935e+37
59.0,0.0,2.4423258028408007e+30,5.388972359315935e+37
60.0,0.0,0.0,5.388972359315935e+37
61.0,0.0,0.0,5.388972359315935e+37
62.0,0.0,0.0,5.388972359315935e+37
63.0,0.0,0.0,5.388972359315935e+37
64.0,0.0,0.0,5.388972359315935e+37
65.0,0.0,0.0,5.388972359315935e+37
66.0,0.0,0.0,5.388972359315935e+37
67.0,0.0,0.0,5.388972359315935e+37
68.0,0.0,0.0,5.388972359315935e+37
69.0,0.0,0.0,5.388972359315935e+37
70.0,0.0,0.0,5.388972359315935e+37
71.0,0.0,0.0,5.388972359315935e+37
72.0,0.0,0.0,5.388972359315935e+37
73.0,0.0,0.0,5.388972359315935e+37
74.0,0.0,0.0,5.388972359315935e+37
75.0,0.0,0.0,5.388972359315935e+37
76.0,0.0,0.0,5.388972359315935e+37
77.0,0.0,0.0,5.388972359315935e+37
78.0,0.0,0.0,5.388972359315935e+37
79.0,0.0,0.0,5.388972359315935e+37
80.0,0.0,0.0,5.388972359315935e+37
81.0,0.0,0.0,5.388972359315935e+37
82.0,0.0,0.0,5.388972359315935e+37
83.0,0.0,0.0,5.388972359315935e+37
84.0,0.0,0.0,5.388972359315935e+37
85.0,0.0,0.0,5.388972359315935e+37
86.0,0.0,0.0,5.388972359315935e+37
87.0,0.0,0.0,5.388972359315935e+37
88.0,0.0,0.0,5.388972359315935e+37
89.0,0.0,0.0,5.388972359315935e+37
90.0,0.0,0.0,5.388972359315935e+37
91.0,0.0,0.0,5.388972359315935e+37
92.0,0.0,0.0,5.388972359315935e+37
93.0,0.0,0.0,5.388972359315935e+37
94.0,0.0,0.0,5.388972359315935e+37
95.0,0.0,0.0,5.388972359315935e+37
96.0,0.0,0.0,5.388972359315935e+37
97.0,0.0,0.0,5.388972359315935e+37
98.0,0.0,0.0,5.388972359315935e+37
99.0,0.0,0.0,5.388972359315935e+37
100.0,0.0,0.0,5.388972359315935e+37
101.0,0.0,0.0,5.388972359315935e+37
102.0,0.0,0.0,5.388972359315935e+37
103.0,0.0,0.0,5.388972359315935e+37
104.0,0.0,0.0,5.388972359315935e+37
105.0,0.0,0.0,5.388972359315935e+37
106.0,0.0,0.0,5.388972359315935e+37
107.0,0.0,0.0,5.388972359315935e+37
108.0,0.0,0.0,5.388972359315935e+37
109.0,0.0,0.0,5.388972359315935e+37
110.0,0.0,0.0,5.388972359315935e+37
111.0,0.0,0.0,5.388972359315935e+37
112.0,0.0,0.0,5.388972359315935e+37
113.0,0.0,0.0,5.388972359315935e+37
114.0,0.0,0.0,5.388972359315935e+37
115.0,0.0,0.0,5.388972359315935e+37
116.0,0.0,0.0,5.388972359315935e+37
117.0,0.0,0.0,5.388972359315935e+37
118.0,0.0,0.0,5.388972359315935e+37
119.0,0.0,0.0,5.388972359315935e+37
120.0,0.0,0.0,5.388972359315935e+37
121.0,0.0,0.0,5.388972359315935e+37
122.0,0.0,0.0,5.388972359315935e+37
123.0,0.0,0.0,5.388972359315935e+37
124.0,0.0,0.0,5.388972359315935e+37
125.0,0.0,0.0,5.388972359315935e+37
126.0,0.0,0.0,5.388972359315935e+37
127.0,0.0,0.0,5.388972359315935e+37
128.0,0.0,0.0,5.388972359315935e+37
129.0,0.0,0.0,5.388972359315935e+37
130.0,0.0,0.0,5.388972359315935e+37
131.0,0.0,0.0,5.388972359315935e+37
132.0,0.0,0.0,5.388972359315935e+37
133.0,0.0,0.0,5.388972359315935e+37
134.0,0.0,0.0,5.388972359315935e+37
135.0,0.0,0.0,5.388972359315935e+37
136.0,0.0,0.0,5.388972359315935e+37
137.0,0.0,0.0,5.388972359315935e+37
138.0,0.0,0.0,5.388972359315935e+37
139.0,0.0,0.0,5.388972359315935e+37
140.0,0.0,0.0,5.388972359315935e+37
141.0,0.0,0.0,5.388972359315935e+37
142.0,0.0,0.0,5.388972359315935e+37
143.0,0.0,0.0,5.388972359315935e+37
144.0,0.0,0.0,5.388972359315935e+37
145.0,0.0,0.0,5.388972359315935e+37
146.0,0.0,0.0,5.388972359315935e+37
147.0,0.0,0.0,5.388972359315935e+37
148.0,0.0,0.0,5.388972359315935e+37
149.0,0.0,0.0,5.388972359315935e+37
150.0,0.0,0.0,5.388972359315935e+37
151.0,0.0,0.0,5.388972359315935e+37
152.0,0.0,0.0,5.388972359315935e+37
153.0,0.0,0.0,5.388972359315935e+37
154.0,0.0,0.0,5.388972359315935e+37
155.0,0.0,0.0,5.388972359315935e+37
156.0,0.0,0.0,5.388972359315935e+37
157.0,0.0,0.0,5.388972359315935e+37
158.0,0.0,0.0,5.388972359315935e+37
159.0,0.0,0.0,5.388972359315935e+37
160.0,0.0,0.0,5.388972359315935e+37
161.0,0.0,0.0,5.388972359315935e+37
162.0,0.0,0.0,5.388972359315935e+37
163.0,0.0,0.0,5.388972359315935e+37
164.0,0.0,0.0,5.388972359315935e+37
165.0,0.0,0.0,5.388972359315935e+37
166.0,0.0,0.0,5.388972359315935e+37
167.0,0.0,0.0,5.388972359315935e+37
168.0,0.0,0.0,5.388972359315935e+37
169.0,0.0,0.0,5.388972359315935e+37
170.0,0.0,0.0,5.388972359315935e+37
171.0,0.0,0.0,5.388972359315935e+37
172.0,0.0,0.0,5.388972359315935e+37
173.0,0.0,0.0,5.388972359315935e+37
174.0,0.0,0.0,5.388972359315935e+37
175.0,0.0,0.0,5.388972359315935e+37
176.0,0.0,0.0,5.388972359315935e+37
177.0,0.0,0.0,5.388972359315935e+37
178.0,0.0,0.0,5.388972359315935e+37
179.0,0.0,0.0,5.388972359315935e+37
180.0,0.0,0.0,5.388972359315935e+37
181.0,0.0,0.0,5.388972359315935e+37
182.0,0.0,0.0,5.388972359315935e+37
183.0,0.0,0.0,5.388972359315935e+37
184.0,0.0,0.0,5.388972359315935e+37
185.0,0.0,0.0,5.388972359315935e+37
186.0,0.0,0.0,5.388972359315935e+37
187.0,0.0,0.0,5.388972359315935e+37
188.0,0.0,0.0,5.388972359315935e+37
189.0,0.0,0.0,5.388972359315935e+37
190.0,0.0,0.0,5.388972359315935e+37
191.0,0.0,0.0,5.388972359315935e+37
192.0,0.0,0.0,5.388972359315935e+37
193.0,0.0,0.0,5.388972359315935e+37
194.0,0.0,0.0,5.388972359315935e+37
195.0,0.0,0.0,5.388972359315935e+37
196.0,0.0,0.0,5.388972359315935e+37
197.0,0.0,0.0,5.388972359315935e+37
198.0,0.0,0.0,5.388972359315935e+37
199.0,0.0,0.0,5.388972359315935e+37
200.0,0.0,0.0,5.388972359315935e+37
