Galaxy,EWCII,ErrEWCII,EWSiII,ErrEWSiII,VcenCII,ErrVcenCII,VcenSiII,ErrVcenSiII,RCII,ErrRCII,RSiII,ErrRSiII
J0021_0052,-0.741124185264951,0.0614610354216633,-0.741678943877122,0.105522506561642,-243.157300983643,23.8359794433246,-243.841621246282,44.357505931588,0.619861758048442,0.111460719120518,0.708962813820101,0.224163258727993
J0036_3333,-1.63613326406111,0.0385646597060015,-1.05935962124531,0.0290395780842555,-114.932278147183,5.85086730216595,-201.03521533847,8.67761200684417,0.248751611141666,0.0363778124394642,0.392950626205383,0.0324310206034818
J0127_0619,-1.37639830408978,0.0874133171073801,-1.32290826767783,0.068660407617714,14.1255984430736,11.1137392664926,-42.9041334029524,10.299600914369,0.0811108902317872,0.0844184719862915,0.0538477375623059,0.0602239594340777
J0144_0453,-0.851246043514781,0.0657475498918662,-0.790782986515355,0.0491126982455564,13.8198226948274,9.92524210658233,3.20121560554123,9.48105576173806,0.244077705165062,0.0754526918266198,0.24329621917914,0.0527829926117939
J0337_0502,-0.779294744394572,0.0359869944918739,-0.904034877499648,0.0363754803528382,2.56666694102223,8.14980425017864,-56.3240465103728,8.55791081606385,0.268029831035758,0.0364924358295996,0.196168463418932,0.0319743334329346
J0405_3648,-0.648470335442462,0.064866575553412,-0.565931899706808,0.0498697301363649,-18.6982677761343,21.2503399835399,-38.9904088072796,14.081269224924,0.596844535593086,0.121689798666774,0.576931157290751,0.0771007498649374
J0808_3948,-0.931355497868794,0.0491201072988448,-0.571717608190146,0.0501180506841953,-544.957078009701,23.0850387467111,-553.324440827173,22.191851985217,0.337953610975824,0.0636718277519007,0.47497844032543,0.0803306988846324
J0823_2806,-2.45973286489146,0.0547751346646876,-2.48652015456702,0.0992310185435374,31.7883413140688,7.63685970615155,-88.0224747114973,13.22889032687,0.00271383050208612,0.0443250449417596,-0.00246684868445457,0.116318137407095
J0926_4427,-0.905407825639132,0.0896682753532541,-0.768413186410417,0.0705795163655198,-268.479574216884,25.8997367730377,-339.454949810236,19.5266515339997,0.526821440640066,0.173573219939675,0.502767053187466,0.134859996666638
J0934_5514,-0.582850323638421,0.0209495222373752,-0.501325401073688,0.0154290062188767,37.6191997956256,5.43351560391874,-6.37791857830915,2.74656620042449,0.477537023728828,0.026765749451265,0.481577304257338,0.022401657112251
J0938_5428,-1.93104966764285,0.0625995886119695,-2.00699094353044,0.0748221284357424,-34.9591887097877,8.96622741359169,-67.3441210328148,11.1012806255286,0.0871475860103721,0.0560187429725496,0.0903364815962952,0.0696846131063265
J0940_2935,-0.745267984026249,0.0614203032864311,-0.736342748325351,0.0465398344962687,28.4302787655638,22.7696964824736,-8.55307226005045,10.5002206670398,0.467882661527108,0.114275887039438,0.4057101121678,0.0666631029366955
J0942_3547,-0.488156792997654,0.0261629027517571,nan,nan,-41.4021012561248,8.67038923044477,nan,nan,0.536502628194931,0.0395832434169277,nan,nan
J0944_0038,-1.74541696110011,0.161468925143466,-1.75269150766347,0.155818155661904,-18.6208883344701,20.8251991309919,-85.4300296885426,29.8147933584438,0.0954903362588427,0.365542857382668,0.13147739526852,0.256697949450464
J0944_3442,-1.67022162081421,0.174793008879928,nan,nan,8.20484610442829,30.5422951219106,nan,nan,0.315159512429849,0.389228996265259,nan,nan
J1016_3754,-0.606094277969798,0.0760339600674998,-0.52566616658637,0.064204696591736,7.22293296244474,22.646647598041,-31.2833778067897,30.5333542758464,0.621757155958511,0.177174992401313,0.679974448899964,0.123308050322884
J1024_0524,nan,nan,-1.16361958636721,0.0460758604782294,nan,nan,-81.72587004255,9.11149219976461,nan,nan,0.196952419878372,0.04403010552129
J1025_3622,-1.72536177530473,0.0694941690037584,-1.6570710704156,0.112963033071063,-129.540875683126,10.6976572291014,-165.797109626134,21.3942069318845,0.172733658834173,0.0898653748339118,0.275073268328698,0.167369134730315
J1044_0353,-0.982283080966269,0.0448187243171163,nan,nan,-69.7650918250854,7.9506361845825,nan,nan,0.126420961940891,0.0326898998647952,nan,nan
J1105_4444,nan,nan,-1.91242199766405,0.055725001809734,nan,nan,-112.691895006311,7.91150723892791,nan,nan,0.00955392694822366,0.045852466244773
J1112_5503,-3.01361691513513,0.0623012922040715,-2.73943965513463,0.108044250974917,-329.213249637677,9.61362401909421,-282.956667117134,20.5406356091949,0.0513080492189652,0.0851898357055118,0.0855593048170968,0.167807957502345
J1119_5130,-0.998760751172196,0.0586600435209173,-0.728861519022348,0.0386179215371503,6.76829910285394,10.3079084239581,-18.4143628347976,9.17101209346578,0.314700345858592,0.0756693102011182,0.369800522773816,0.047827738042122
J1129_2034,-1.18587514865931,0.0575507964444227,-1.15218272584137,0.0491922721091674,42.33634745971,8.60394907533987,-22.2397996594198,9.00719493223817,0.0978486163059135,0.0527547479913005,0.108713973344259,0.0392396361774377
J1132_1411,-1.58127728816521,0.0634435531132859,nan,nan,-23.9377532736252,9.17742020105813,nan,nan,-0.00726153819729508,0.0544064662734968,nan,nan
J1132_5722,-1.1149415956987,0.125777636413789,-0.882401107905781,0.0956263977234209,11.2084244787095,24.2487202772332,-31.8672228551643,30.8484537670365,0.39784568465154,0.226936610669939,0.446359577988698,0.172939488292268
J1144_4012,-2.89326745062905,0.0942622690604144,-2.75168598944155,0.128038545343182,-145.684862707339,12.0454234770421,-193.994843574765,18.1312210759191,0.0415383261352008,0.105429328795597,0.0689194890220754,0.234039727339436
J1148_2546,nan,nan,-1.54702772897498,0.0735857106719415,nan,nan,-116.750333049935,10.7082926806532,nan,nan,0.0580309880160077,0.0777161264334477
J1150_1501,-1.1808049304904,0.043830426864611,-1.06454425119172,0.0317436726034583,39.8748353283559,8.15587125257672,-34.4370896702202,6.53182329787433,0.152449532399461,0.0448269894017189,0.138728498560011,0.0338275346463838
J1157_3220,-1.3875595136204,0.0635813836914131,nan,nan,-192.265998963598,15.8476070919263,nan,nan,0.333017475532255,0.0898930929288335,nan,nan
J1200_1343,nan,nan,-1.43671416795329,0.0811427833935054,nan,nan,-136.037253864019,11.9795754055038,nan,nan,0.11275969433376,0.077349911335851
J1225_6109,-1.28084800634437,0.053643071559342,-1.18203486540021,0.0410191468509323,47.3833561957823,8.53852342108015,-16.4264583152413,7.2382600327709,0.0872795708999973,0.057952318595144,0.087065862103404,0.0329501763937155
J1253_0312,-1.30145739092625,0.0501482761487329,nan,nan,-51.9209468447787,8.26244310948628,nan,nan,0.224914668065658,0.0518830567193422,nan,nan
J1314_3452,-1.08495575356742,0.0253072604725177,-1.12327884723512,0.022583120161213,-20.2352234052047,1.46714842223167,-75.5292635279352,6.42490105870819,0.059344682145746,0.0213008953098105,0.0601605348827611,0.0150425770447831
J1323_0132,-0.11,0.0647648432564412,-0.3,0.0647648432564412,-298.926309558234,86.6522249434621,nan,nan,0.918139033355925,0.171315146674285,0.9,0.171315146674285
J1359_5726,-2.03649476324528,0.0498715848033958,nan,nan,-147.857874214825,7.36507140147174,nan,nan,0.104181158154264,0.0474269975499075,nan,nan
