Galaxy,EWFluoCII,ErrEWFluoCII,EWFluoSiII,ErrEWFluoSiII,VFluoCII,ErrVFluoCII,VFluoSiII,ErrVFluoSiII,FmaxFluoCII,FmaxFluoSiII
J0021_0052,0.39231535722682526,0.06301551799423653,0.566589855911988,0.09998273159330918,327.9013305622155,104.53172747316023,1076.811925878715,172.36430068691095,1.2809448822481457,1.3710273474602408
J0036_3333,0.0,0.017752223545345985,0.129239452210695,0.02783808111289196,515.8431397849786,88.90995077162808,1049.0704381534747,128.299465327922,1.0359525930867537,1.1495378407051913
J0127_0619,0.1505719666047906,0.05728360404263336,nan,nan,457.57720634216116,74.52138929655277,nan,nan,1.2101010271886707,nan
J0144_0453,0.11127931560876077,0.04547221652968814,0.23411123589301974,0.0636060534497766,375.2683929068177,76.57700300350369,1081.723755881861,113.26880108324274,1.1867108831703308,1.2622642360312355
J0337_0502,0.02591278602772074,0.020503353270053003,0.029550374720497666,0.027058885135752796,409.9925112502034,91.15273502800883,1082.5251171845202,237.9073676063968,1.0719113390858608,1.0764109726459834
J0405_3648,0.05113262203242107,0.03804744503945519,0.0,0.029923651105959514,491.8467255099813,93.6661028600705,1129.3269691600747,258.1173965481864,1.1224574503330318,1.0630466438108346
J0808_3948,0.385574534653888,0.04605919482616882,0.21577824888495556,0.043612125452237735,573.5418764097664,36.327118541677756,1207.0710765220826,271.41828237926154,1.4420098559924779,1.1719610418584288
J0823_2806,0.15537154898387437,0.04368170520422638,0.18127019146829665,0.08651636058878615,504.44678237711514,54.56671511900774,1179.7854494941964,151.7132130763186,1.2390396149919671,1.2574254750194302
J0926_4427,0.5736683354177439,0.08821541006468538,0.32044490643498147,0.06382716171401216,248.6169714261459,71.04512527939869,1110.6842562654933,66.21777881698874,1.5736960240734068,1.3997804395066606
J0934_5514,0.036668395269225336,0.014998374245688853,0.013992330402571888,0.016232780645564278,531.4754049319143,64.34850124575814,1196.2798391944505,235.68335396826288,1.056327905714951,1.0387063365304066
J0938_5428,0.22102336366530595,0.047371199216908924,0.2643845266358367,0.06844596222437788,503.9854310861474,85.07692919479456,1121.4772661262318,98.10015527691023,1.2251152855060161,1.3327793760601248
J0940_2935,0.05469812103524907,0.040488895714734345,0.0,0.030233764518323884,457.10155786527815,65.41195684075511,1091.2256030011174,211.64336964657255,1.1365579108556934,1.0520509323786178
J0942_3547,0.10465276749874018,0.021871807418860887,nan,nan,349.07127761376626,59.755531696448664,nan,nan,1.1333798514099251,nan
J0944_0038,0.024185677357220412,0.06790640590260634,0.4582228227865649,0.11827753105991927,408.5962241916018,120.1079921838135,1184.5937675010869,177.5581118874842,1.1077038340632779,1.448905344565052
J0944_3442,0.04376245151223693,0.09185779785315917,nan,nan,510.1403791417335,96.97604602291722,nan,nan,1.2385247485185222,nan
